0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:46:51 +0700] "POST /test/updateStd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:46:51 +0700] "GET /test/quanlySV HTTP/1.1" 200 12561
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:46:59 +0700] "GET /test/updateStd?sid=123 HTTP/1.1" 200 6949
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:02 +0700] "POST /test/updateStd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:02 +0700] "GET /test/quanlySV HTTP/1.1" 200 12562
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:15 +0700] "GET /test/updateStd?sid=123 HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:28 +0700] "GET /test/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:28 +0700] "GET /test/login.jsp HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:29 +0700] "GET /img/login_bg_header.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:30 +0700] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:30 +0700] "GET /test/index.jsp HTTP/1.1" 200 9306
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:32 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 9504
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:34 +0700] "GET /test/showRegister?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:38 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 10299
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:47:38 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:51:44 +0700] "GET /test/index.jsp HTTP/1.1" 200 7758
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:51:47 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:11 +0700] "GET /test/login.jsp HTTP/1.1" 200 6542
